Horizon,Input_Size,Train_Steps,Series_ID,Model,MAE,MSE
96,384,100,PT,NBEATS,434.410104115804,284622.11235068896
96,384,100,PT,TimesNet,316.5958887736003,173828.19040978825
96,384,100,RO,NHITS,385.9408493041992,253187.1883971604
96,384,100,RO,NBEATS,391.72910563151044,293690.11869718385
96,384,100,RO,TimesNet,394.7267252604167,232745.04440586767
96,384,200,Combined,NHITS,336.1379263136122,195754.76235633995
96,384,200,Combined,NBEATS,340.5531480577257,205736.1612215574
96,384,200,Combined,TimesNet,342.77911800808374,187917.5602202792
96,384,200,BE,NHITS,395.26531473795575,280059.8379517868
96,384,200,BE,NBEATS,454.76505279541016,354167.4911832151
96,384,200,BE,TimesNet,312.6360448201497,175012.12905013934
96,384,200,PT,NHITS,262.4383379618327,109280.60014248732
96,384,200,PT,NBEATS,252.26544952392578,101964.27583226252
96,384,200,PT,TimesNet,327.32973225911456,169006.15486020097
96,384,200,RO,NHITS,350.71012624104816,197923.84897474572
96,384,200,RO,NBEATS,314.6289418538411,161076.71664919457
96,384,200,RO,TimesNet,388.371576944987,219734.3967504973
96,384,300,Combined,NHITS,340.9339205423991,209396.09172821924
96,384,300,Combined,NBEATS,298.01957448323566,157328.05140512562
96,384,300,Combined,TimesNet,310.36951616075305,153427.6364777498
96,384,300,BE,NHITS,499.8817418416341,406794.51098615554
96,384,300,BE,NBEATS,404.0080083211263,268640.1962462229
96,384,300,BE,TimesNet,276.4466857910156,137702.8910436208
96,384,300,PT,NHITS,239.95048141479492,93364.92725647271
96,384,300,PT,NBEATS,244.83490498860678,101112.0845908622
96,384,300,PT,TimesNet,314.3092575073242,152873.32768812156
96,384,300,RO,NHITS,282.96953837076825,128028.83694202949
96,384,300,RO,NBEATS,245.21581013997397,102231.87337829173
96,384,300,RO,TimesNet,340.35260518391925,169706.69070150703
96,768,100,Combined,NHITS,473.9876963297526,372522.0877616422
96,768,100,Combined,NBEATS,574.2297337849935,566382.0661632429
96,768,100,Combined,TimesNet,310.6245074801975,153250.73797941415
96,768,100,BE,NHITS,537.3837280273438,477981.9392501588
96,768,100,BE,NBEATS,729.8485463460287,842966.0703674456
96,768,100,BE,TimesNet,317.16467539469403,163971.8914203234
96,768,100,PT,NHITS,518.5717264811198,407065.0183120494
96,768,100,PT,NBEATS,544.8338267008463,496236.35442857136
96,768,100,PT,TimesNet,306.88145955403644,150483.62392826378
96,768,100,RO,NHITS,366.00763448079425,232519.30572271845
96,768,100,RO,NBEATS,448.00682830810547,359943.7736937118
96,768,100,RO,TimesNet,307.827387491862,145296.69858965525
96,768,200,Combined,NHITS,380.2728877597385,268887.30016665003
96,768,200,Combined,NBEATS,425.62389246622723,310561.70362236234
96,768,200,Combined,TimesNet,308.61690012613934,155255.01518086882
96,768,200,BE,NHITS,472.56697845458984,416438.6214037426
96,768,200,BE,NBEATS,502.1440709431966,432853.1086505614
96,768,200,BE,TimesNet,326.6993586222331,183508.96592375264
96,768,200,PT,NHITS,291.9945538838704,165360.57388579505
96,768,200,PT,NBEATS,397.3048667907715,244412.639527875
96,768,200,PT,TimesNet,298.82475026448566,142452.64112043256
96,768,200,RO,NHITS,376.2571309407552,224862.70521041253
96,768,200,RO,NBEATS,377.42273966471356,254419.3626886507
96,768,200,RO,TimesNet,300.3265914916992,139803.43849842125
96,768,300,Combined,NHITS,326.23565673828125,195005.0179800441
96,768,300,Combined,NBEATS,349.0611784193251,222324.65958536955
